rt,response,accuracy,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,device,referer,mobile,success,stimulus,task,correct_response,correct,value,randomization,block_number,word_used,label,right_concept,right_P,right_Q
132530.0,,[],survey,0,132563,0.0-0.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,,,,,,,,,,,
,,,browser-check,1,132564,0.0-1.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,False,,,,,,,,,,,,,
3918.0,,,fullscreen,2,137484,0.0-2.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,True,,,,,,,,,,,,
47190.0,p,,html-keyboard-response,3,184675,0.0-3.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,"<h3>Task 1 of 5</h3><p>Your next task is to help another participant learn the meaning of two concepts that will be associated with <em>p</em> and <em>q</em>. The meaning of such concepts will be made clear to you. You will in fact see a description of each concept on top of the screen.</p><p>During the experiment, you will be shown three objects. The same three objects will be shown to another participant, who, unlike you, will need to learn the meaning of the words associated with <em>p</em> and <em>q</em>. One of the three objects will be underlined for you, but not for the other participant. You need to communicate either <em>p</em> or <em>q</em> to the other participant. Your goal is to make sure that that participant picks the underlined objects among the three displayed ones.</p><p>Being unaware of the meaning of <em>p</em> and <em>q</em>, the other participant will likely not be able to pick the right object in the first trials. However, both of you will be shown many sets containing three objects. In time, the other participant can thus learn the meaning of the words associated with <em>p</em> and <em>q</em> and become more accurate in returning the object which you wanted to be returned (the one underlined for you).</p><p>During the whole task, please take your time and send the message that you think is best to send in each situation. On the right part of the screen, you will see the record of trials you completed.</p><p>We suggest to keep a finger of the right hand on the <em>p</em> key and a finger of the left hand on the <em>q</em> key (ideally the index fingers).</p>",,,,,,,,,,,
13477.0,q,,canvas-keyboard-response,4,198157,0.0-4.0-0.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,False,,,,,,,,
16257.0,q,,canvas-keyboard-response,5,214417,0.0-4.1-0.1,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,False,,,,,,,,
6721.0,p,,canvas-keyboard-response,6,221138,0.0-4.2-0.2,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,False,,,,,,,,
7448.0,p,,canvas-keyboard-response,7,228588,0.0-4.3-0.3,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
5234.0,q,,canvas-keyboard-response,8,233822,0.0-4.4-0.4,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1346.0,q,,canvas-keyboard-response,9,235169,0.0-4.5-0.5,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1978.0,q,,canvas-keyboard-response,10,237148,0.0-4.6-0.6,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1358.0,q,,canvas-keyboard-response,11,238507,0.0-4.7-0.7,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1176.0,p,,canvas-keyboard-response,12,239685,0.0-4.8-0.8,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
1690.0,q,,canvas-keyboard-response,13,241375,0.0-4.9-0.9,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
2127.0,p,,canvas-keyboard-response,14,243503,0.0-4.10-0.10,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
1555.0,p,,canvas-keyboard-response,15,245059,0.0-4.11-0.11,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
2063.0,q,,canvas-keyboard-response,16,247123,0.0-4.12-0.12,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
922.0,q,,canvas-keyboard-response,17,248046,0.0-4.13-0.13,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1190.0,p,,canvas-keyboard-response,18,249237,0.0-4.14-0.14,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
2518.0,q,,canvas-keyboard-response,19,251756,0.0-4.15-0.15,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1050.0,q,,canvas-keyboard-response,20,252806,0.0-4.16-0.16,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1059.0,p,,canvas-keyboard-response,21,253866,0.0-4.17-0.17,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
1207.0,p,,canvas-keyboard-response,22,255075,0.0-4.18-0.18,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
1428.0,p,,canvas-keyboard-response,23,256504,0.0-4.19-0.19,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
613.0,q,,canvas-keyboard-response,24,257119,0.0-4.20-0.20,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,q,True,,,,,,,,
1021.0,p,,canvas-keyboard-response,25,258141,0.0-4.21-0.21,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,speaker,p,True,,,,,,,,
1735.0, ,,canvas-keyboard-response,26,259880,0.0-5.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,,,,,,,,,,,
,,,call-function,27,259880,0.0-6.0-0.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,,,,,,,,,,,
59688.0,j,,html-keyboard-response,28,319568,0.0-6.0-1.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,"<h3>Task 2 of 5</h3><p>In the next task, you will learn the meaning of two concepts, which will be associated with <em>p</em> and <em>q</em>. During the experiment, you will be shown sets of three objects. The same sets of three objects were shown to another participant. That participant was informed about the meaning of the words associated with <em>p</em> and <em>q</em>, unlike you. That participant sent you a message (either <em>p</em> or <em>q</em>) for each set of objects. You will first see all objects associated a message and then all objects associated with the other one. The aim of the participant who sent the messages to you is to have you pick a certain object out of the three displayed ones, for each set of objects. Your task is in fact not only to learn the meaning of the two concepts, but also to select the object that the other participant wanted you to return.</p><p>Of course, in the first couple of trials you will have no idea about the meaning of the concepts in question. That should however change later on. As a help, you will see the record of the trials that you already completed on the right part of the screen. This means that you will see all sets of three objects that were shown to you before, with the one that you were supposed to pick underlined. There is no time limit to complete the task, so please focus on being as accurate as possible in returning the object that the other participant wanted you to return, and look at the right part of the screen for help in solving the task.</p><p> We suggest to keep three fingers on the <em>j</em>, <em>k</em> and <em>l</em> keys, which are the keys that you will need to use to indicate which object you select.</p>",,,,,,,,,,,
17359.0,j,,canvas-keyboard-response,29,336930,0.0-6.0-2.0-0.0-0.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,listener_LOT_only,j,True,,"[[0,2,1],""draw_circle"",""draw_triangle"",""draw_square"",[""red"",""blue"",""green""],[20,60,100]]",3.0,Q,,,,
2719.0, ,,html-keyboard-response,30,339651,0.0-6.0-2.0-0.0-1.0,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,<p><b>Correct!</b></p>You returned the object that the other participant wanted you to return.</p><p>Press any key to continue</p>,,,,,,,,,,,
5615.0,j,,canvas-keyboard-response,31,345267,0.0-6.0-2.0-0.1-0.1,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,,listener_LOT_only,j,True,,"[[0,2,1],""draw_circle"",""draw_triangle"",""draw_square"",[""red"",""blue"",""green""],[20,60,100]]",3.0,Q,,,,
1002.0, ,,html-keyboard-response,32,346270,0.0-6.0-2.0-0.1-1.1,14,1,2024-03-26 11:54:44,8dc0f95afc5e1bb424f9b02304a59b81,WebKit,,,,<p><b>Correct!</b></p>You returned the object that the other participant wanted you to return.</p><p>Press any key to continue</p>,,,,,,,,,,,
